time,yaw,pitch,roll,acc x,acc y,acc z
2019-06-26 15:34:49.339928,161.75,-78.38,-8.46,-4128,476,-1058
2019-06-26 15:34:49.359932,161.60,-78.37,-8.48,-4135,483,-1060
2019-06-26 15:34:49.376936,161.46,-78.36,-8.50,-4139,477,-1065
2019-06-26 15:34:49.397941,161.35,-78.35,-8.52,-4132,480,-1085
2019-06-26 15:34:49.417964,161.22,-78.34,-8.54,-4131,481,-1069
2019-06-26 15:34:49.437968,161.07,-78.33,-8.56,-4132,481,-1065
2019-06-26 15:34:49.458973,160.94,-78.33,-8.58,-4137,479,-1053
2019-06-26 15:34:49.478977,160.80,-78.32,-8.60,-4136,484,-1046
2019-06-26 15:34:49.498982,160.66,-78.31,-8.61,-4138,488,-1061
2019-06-26 15:34:49.519987,160.51,-78.30,-8.63,-4135,492,-1073
2019-06-26 15:34:49.539991,160.43,-78.29,-8.65,-4130,496,-1073
2019-06-26 15:34:49.556995,160.26,-78.29,-8.66,-4134,490,-1081
2019-06-26 15:34:49.578000,160.15,-78.28,-8.68,-4137,492,-1072
2019-06-26 15:34:49.598004,160.01,-78.27,-8.70,-4138,485,-1068
2019-06-26 15:34:49.619009,159.90,-78.26,-8.72,-4138,486,-1075
2019-06-26 15:34:49.639003,159.79,-78.25,-8.74,-4141,493,-1081
2019-06-26 15:34:49.659018,159.67,-78.25,-8.75,-4131,493,-1077
2019-06-26 15:34:49.680022,159.51,-78.24,-8.76,-4140,488,-1075
2019-06-26 15:34:49.700011,159.39,-78.23,-8.78,-4128,507,-1069
2019-06-26 15:34:49.720013,159.28,-78.22,-8.80,-4108,491,-1063
2019-06-26 15:34:49.737019,159.12,-78.22,-8.81,-4140,484,-1079
2019-06-26 15:34:49.758022,159.03,-78.21,-8.83,-4136,493,-1075
2019-06-26 15:34:49.778027,158.89,-78.20,-8.85,-4132,505,-1092
2019-06-26 15:34:49.799032,158.78,-78.19,-8.86,-4142,513,-1086
2019-06-26 15:34:49.819036,158.64,-78.19,-8.87,-4128,506,-1076
2019-06-26 15:34:49.839041,158.50,-78.18,-8.88,-4139,496,-1082
2019-06-26 15:34:49.860046,158.42,-78.18,-8.90,-4142,502,-1086
2019-06-26 15:34:49.880049,158.25,-78.18,-8.91,-4154,530,-1091
2019-06-26 15:34:49.897053,158.13,-78.17,-8.92,-4134,530,-1090
2019-06-26 15:34:49.918058,158.02,-78.16,-8.93,-4148,512,-1080
2019-06-26 15:34:49.938062,157.86,-78.16,-8.94,-4147,500,-1082
2019-06-26 15:34:49.959068,157.75,-78.15,-8.96,-4142,506,-1078
2019-06-26 15:34:49.979072,157.63,-78.15,-8.97,-4147,519,-1082
2019-06-26 15:34:49.999077,157.50,-78.15,-8.98,-4136,522,-1084
2019-06-26 15:34:50.019081,157.38,-78.14,-8.99,-4135,528,-1080
2019-06-26 15:34:50.040085,157.27,-78.13,-9.00,-4144,516,-1084
2019-06-26 15:34:50.060090,157.16,-78.13,-9.01,-4146,508,-1081
2019-06-26 15:34:50.077095,157.02,-78.12,-9.03,-4151,499,-1091
2019-06-26 15:34:50.098099,156.91,-78.11,-9.04,-4148,503,-1080
2019-06-26 15:34:50.118103,156.77,-78.11,-9.05,-4148,512,-1083
2019-06-26 15:34:50.138108,156.66,-78.10,-9.06,-4145,508,-1095
2019-06-26 15:34:50.159131,156.55,-78.09,-9.06,-4151,513,-1103
2019-06-26 15:34:50.179135,156.47,-78.08,-9.07,-4139,517,-1104
2019-06-26 15:34:50.200140,156.41,-78.06,-9.08,-4153,542,-1091
2019-06-26 15:34:50.220144,156.36,-78.05,-9.09,-4155,527,-1100
2019-06-26 15:34:50.240149,156.33,-78.02,-9.11,-4145,489,-1110
2019-06-26 15:34:50.258153,156.30,-77.99,-9.12,-4132,521,-1103
2019-06-26 15:34:50.278140,156.28,-77.95,-9.13,-4137,515,-1116
2019-06-26 15:34:50.299145,156.25,-77.93,-9.13,-4161,560,-1083
2019-06-26 15:34:50.319148,156.00,-78.01,-9.12,-4120,642,-1054
2019-06-26 15:34:50.339152,155.87,-78.08,-9.14,-4270,494,-1090
2019-06-26 15:34:50.359157,155.91,-78.05,-9.19,-4184,388,-1097
2019-06-26 15:34:50.380163,155.97,-78.00,-9.19,-4164,457,-1096
2019-06-26 15:34:50.400166,156.00,-77.95,-9.20,-4168,512,-1083
2019-06-26 15:34:50.417171,156.06,-77.90,-9.22,-4155,501,-1105
2019-06-26 15:34:50.438175,156.06,-77.85,-9.23,-4143,536,-1102
2019-06-26 15:34:50.458179,156.06,-77.80,-9.25,-4137,510,-1094
2019-06-26 15:34:50.478184,156.11,-77.74,-9.26,-4144,519,-1105
2019-06-26 15:34:50.499190,156.14,-77.67,-9.27,-4137,520,-1117
2019-06-26 15:34:50.519193,156.19,-77.61,-9.28,-4136,523,-1123
